pi,interval,color
3,"[2024-08-16 06:00:59, 2024-08-16 19:59:59]",cnt
3,"[2024-08-17 06:00:58, 2024-08-17 16:27:44]",cnt
3,"[2024-08-19 09:08:20, 2024-08-19 09:24:18]",cnt
3,"[2024-08-19 09:25:35, 2024-08-19 09:25:46]",cnt
3,"[2024-08-19 18:07:00, 2024-08-19 18:08:19]",cnt
3,"[2024-08-19 18:09:58, 2024-08-19 19:59:59]",cnt
3,"[2024-08-20 06:01:07, 2024-08-20 19:59:59]",cnt
3,"[2024-08-21 06:01:07, 2024-08-21 14:39:05]",cnt
3,"[2024-08-22 17:45:15, 2024-08-22 19:59:59]",cnt
3,"[2024-08-23 06:01:00, 2024-08-23 19:59:59]",cnt
3,"[2024-08-24 06:00:58, 2024-08-24 19:59:59]",cnt
3,"[2024-08-25 06:00:59, 2024-08-25 10:00:57]",cnt
3,"[2024-08-25 10:02:42, 2024-08-25 19:59:59]",cnt
3,"[2024-08-26 06:01:06, 2024-08-26 19:59:59]",cnt
3,"[2024-08-27 06:01:08, 2024-08-27 10:38:50]",cnt
3,"[2024-08-28 09:31:00, 2024-08-28 19:59:59]",cnt
3,"[2024-08-29 06:01:00, 2024-08-29 19:59:59]",cnt
3,"[2024-08-30 06:01:02, 2024-08-30 12:53:54]",cnt
3,"[2024-09-03 10:11:52, 2024-09-03 19:59:59]",blu
3,"[2024-09-04 06:01:08, 2024-09-04 19:59:59]",blu
3,"[2024-09-05 06:01:07, 2024-09-05 12:09:59]",blu
3,"[2024-09-05 12:11:37, 2024-09-05 18:59:59]",blu
3,"[2024-09-06 08:01:04, 2024-09-06 18:59:59]",blu
3,"[2024-09-07 08:01:04, 2024-09-07 18:59:59]",blu
3,"[2024-09-08 08:01:05, 2024-09-08 09:27:01]",blu
4,"[2024-07-11 05:02:00, 2024-07-11 15:59:59]",grn
4,"[2024-07-12 05:02:02, 2024-07-12 16:00:00]",grn
4,"[2024-07-13 05:02:01, 2024-07-13 13:29:03]",grn
4,"[2024-07-13 13:32:17, 2024-07-13 16:00:00]",grn
4,"[2024-07-14 05:02:02, 2024-07-14 15:59:59]",grn
4,"[2024-07-15 05:02:02, 2024-07-15 16:00:01]",grn
4,"[2024-07-16 05:02:21, 2024-07-16 11:26:03]",grn
4,"[2024-07-18 10:28:24, 2024-07-18 19:59:59]",cnt
4,"[2024-07-19 05:01:04, 2024-07-19 19:59:59]",cnt
4,"[2024-07-20 05:01:03, 2024-07-20 09:25:41]",cnt
4,"[2024-07-20 09:37:41, 2024-07-20 09:38:21]",cnt
4,"[2024-07-20 09:50:19, 2024-07-20 09:50:20]",cnt
4,"[2024-07-20 20:58:11, 2024-07-20 20:58:11]",cnt
4,"[2024-07-21 05:01:04, 2024-07-21 19:59:59]",cnt
4,"[2024-07-22 05:01:05, 2024-07-22 19:39:09]",cnt
4,"[2024-07-22 19:51:08, 2024-07-22 19:52:46]",cnt
4,"[2024-07-22 20:04:45, 2024-07-22 20:04:45]",cnt
4,"[2024-07-23 05:01:05, 2024-07-23 05:02:18]",cnt
4,"[2024-07-23 05:14:17, 2024-07-23 05:14:45]",cnt
4,"[2024-07-23 05:26:44, 2024-07-23 05:26:58]",cnt
4,"[2024-07-23 05:38:57, 2024-07-23 05:39:05]",cnt
4,"[2024-07-23 05:51:04, 2024-07-23 05:51:17]",cnt
4,"[2024-07-23 06:39:12, 2024-07-23 06:39:14]",cnt
4,"[2024-07-23 20:15:11, 2024-07-23 20:15:11]",cnt
4,"[2024-07-24 06:00:57, 2024-07-24 19:59:59]",yel
4,"[2024-07-25 06:00:56, 2024-07-25 19:59:59]",yel
4,"[2024-07-25 20:27:41, 2024-07-25 20:27:41]",yel
4,"[2024-07-26 06:01:05, 2024-07-26 19:59:59]",yel
4,"[2024-07-27 06:01:06, 2024-07-27 14:32:24]",yel
4,"[2024-07-27 14:33:58, 2024-07-27 14:34:43]",yel
4,"[2024-07-27 14:35:58, 2024-07-27 20:00:00]",yel
4,"[2024-07-28 06:00:57, 2024-07-28 19:59:59]",yel
4,"[2024-07-29 06:00:57, 2024-07-29 19:17:08]",yel
4,"[2024-07-29 19:18:48, 2024-07-29 19:59:59]",yel
4,"[2024-07-30 06:01:05, 2024-07-30 19:59:59]",yel
4,"[2024-07-31 06:01:05, 2024-07-31 19:59:59]",yel
