wavelength_nm,reflectance_au
756.83,3.18468
757.16,3.32843
757.48,2.92202
757.81,3.18468
758.14,3.36538
758.46,3.11818
758.79,3.39806
759.12,3.00935
759.45,3.60825
759.77,3.17593
760.1,3.29208
760.43,3.46569
760.75,3.56667
761.08,3.60714
761.41,3.63333
761.73,3.23077
762.06,3.3125
762.39,3.53535
762.71,3.15929
763.04,3.30734
763.36,3.09504
763.69,3.39474
764.02,3.29808
764.34,3.44199
764.67,3.17079
765,3.18483
765.32,3.06459
765.65,3.25272
765.97,3.11337
766.3,3.16561
766.63,3.07143
766.95,3.28626
767.28,3.65086
767.6,3.11441
767.93,3.11111
768.25,3.31959
768.58,3.30337
768.91,3.26136
769.23,3.08333
769.56,3.28395
769.88,3.31818
770.21,3.27273
770.53,3.39855
770.86,3.40667
771.18,3.23881
771.51,3.39552
771.83,3.34328
772.16,3.66935
772.48,4.07377
772.81,3.875
773.13,3.61475
773.46,3
773.78,3.67797
774.11,3.61864
774.43,3.5
774.76,3.26667
775.08,3.36275
775.41,3.43396
775.73,3.30556
776.06,3.07759
776.38,3.5
776.71,3.79787
777.03,3.85714
777.36,3.77451
777.68,3.22
778,3.64
778.33,3.08824
778.65,3.43269
778.98,3.21429
779.3,3.64894
779.63,2.78571
779.95,3.72826
780.27,3.65556
780.6,4.18293
780.92,3.28571
781.25,3.75
781.57,3.43
781.89,3.65556
782.22,3.65217
782.54,3.21429
782.86,3.19565
783.19,3.20213
783.51,3.5
783.84,3.42553
784.16,3.84146
784.48,3.35417
784.81,4
785.13,2.73
785.45,3.5
785.78,3.77632
786.1,3.77632
786.42,3.33721
786.75,3.5
787.07,2.91667
787.39,2.84375
787.71,2.98958
788.04,3.18889
788.36,3.12766
788.68,3.08824
789.01,3.57
789.33,3.24545
789.65,3.75
789.97,3.89623
790.3,3.19298
790.62,3.44355
790.94,3.63725
791.26,3.37037
791.59,3.30909
791.91,2.90566
792.23,3.5
792.55,3.5
792.88,3.19565
793.2,3.77632
793.52,3.66667
793.84,2.8913
794.17,3.15854
794.49,3.17442
794.81,3.41463
795.13,3.68421
795.45,3.26136
795.78,3.26136
796.1,3.15854
796.42,3.5
796.74,3.25581
797.06,3.0625
797.38,3.64894
797.71,3.42857
798.03,3.28125
798.35,3.5
798.67,3.96667
798.99,3.35417
799.31,3.74419
799.63,2.78571
799.96,3.42045
800.28,3.5
800.6,2.97872
800.92,3.34444
801.24,3.31579
801.56,3.7561
801.88,2.83333
802.2,3.79167
802.53,3.5
802.85,3.79167
803.17,3.4125
803.49,3.13158
803.81,2.87179
804.13,3.68919
804.45,2.75
804.77,3.22368
805.09,3.5
805.41,3.05128
805.73,3.70588
806.05,3.91176
806.37,3.59459
806.69,3.5
807.01,2.94318
807.33,3.41026
807.65,3.5
807.97,3.33333
808.29,3.5
808.61,3.10227
808.93,3.58974
809.25,3.5
809.57,2.94318
809.89,2.85526
810.21,3.5
810.53,3.67073
810.85,3.2375
811.17,3.84146
811.49,3.0625
811.81,3
812.13,2.75
812.45,3.5
812.77,3.59722
813.09,3.675
813.41,4.32353
813.73,3.30556
814.05,3.5
814.37,2.81944
814.69,3.5
815.01,3.3
815.33,3.05128
815.65,3.31081
815.96,3.39706
816.28,2.975
816.6,3.16667
816.92,2.81707
817.24,3.5
817.56,2.73913
817.88,3.77632
818.2,3.5
818.51,3.10227
818.83,3.18889
819.15,3.97727
