USB2G13063_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
398.825	28.83	398.825	30.22	398.825	24.5	398.825	29	398.825	25.28	398.825	28.17	
399.19	26.83	399.19	28.22	399.19	23.5	399.19	27	399.19	31.28	399.19	24.17	
399.555	24.83	399.555	25.22	399.555	27.5	399.555	33	399.555	27.28	399.555	26.17	
399.92	31.83	399.92	23.22	399.92	23.5	399.92	27	399.92	24.28	399.92	26.17	
400.284	24.83	400.284	28.22	400.284	24.5	400.284	31	400.284	21.28	400.284	25.17	
400.649	28.83	400.649	32.22	400.649	29.5	400.649	25	400.649	21.28	400.649	31.17	
401.014	28.83	401.014	30.22	401.014	24.5	401.014	27	401.014	27.28	401.014	30.17	
401.379	31.83	401.379	24.22	401.379	23.5	401.379	30	401.379	35.28	401.379	33.17	
401.743	26.83	401.743	26.22	401.743	28.5	401.743	28	401.743	26.28	401.743	27.17	
402.108	28.83	402.108	32.22	402.108	31.5	402.108	29	402.108	29.28	402.108	30.17	
402.473	27.83	402.473	28.22	402.473	26.5	402.473	31	402.473	29.28	402.473	27.17	
402.837	23.83	402.837	31.22	402.837	29.5	402.837	31	402.837	25.28	402.837	28.17	
403.202	27.83	403.202	32.22	403.202	34.5	403.202	29	403.202	35.28	403.202	30.17	
403.566	24.83	403.566	32.22	403.566	31.5	403.566	30	403.566	28.28	403.566	25.17	
403.931	31.83	403.931	30.22	403.931	33.5	403.931	32	403.931	33.28	403.931	33.17	
404.296	32.83	404.296	28.22	404.296	33.5	404.296	33	404.296	36.28	404.296	29.17	
404.66	31.83	404.66	32.22	404.66	28.5	404.66	34	404.66	30.28	404.66	31.17	
405.024	28.83	405.024	32.22	405.024	32.5	405.024	35	405.024	29.28	405.024	30.17	
405.389	32.83	405.389	26.22	405.389	31.5	405.389	34	405.389	32.28	405.389	30.17	
405.753	30.83	405.753	34.22	405.753	32.5	405.753	37	405.753	30.28	405.753	30.17	
406.118	33.83	406.118	35.22	406.118	32.5	406.118	32	406.118	34.28	406.118	36.17	
406.482	30.83	406.482	34.22	406.482	34.5	406.482	33	406.482	29.28	406.482	30.17	
406.846	37.83	406.846	30.22	406.846	34.5	406.846	33	406.846	34.28	406.846	36.17	
407.21	36.83	407.21	39.22	407.21	32.5	407.21	39	407.21	36.28	407.21	33.17	
407.575	31.83	407.575	27.22	407.575	28.5	407.575	37	407.575	30.28	407.575	31.17	
407.939	31.83	407.939	35.22	407.939	35.5	407.939	37	407.939	34.28	407.939	34.17	
408.303	34.83	408.303	38.22	408.303	36.5	408.303	38	408.303	34.28	408.303	35.17	
408.667	28.83	408.667	38.22	408.667	36.5	408.667	33	408.667	34.28	408.667	33.17	
409.031	37.83	409.031	36.22	409.031	37.5	409.031	36	409.031	34.28	409.031	34.17	
409.395	43.83	409.395	40.22	409.395	41.5	409.395	43	409.395	40.28	409.395	43.17	
409.759	32.83	409.759	36.22	409.759	38.5	409.759	37	409.759	38.28	409.759	37.17	
410.123	39.83	410.123	34.22	410.123	41.5	410.123	41	410.123	36.28	410.123	36.17	
410.487	39.83	410.487	37.22	410.487	32.5	410.487	44	410.487	40.28	410.487	36.17	
410.851	38.83	410.851	36.22	410.851	32.5	410.851	42	410.851	40.28	410.851	35.17	
411.215	35.83	411.215	37.22	411.215	41.5	411.215	40	411.215	44.28	411.215	39.17	
411.579	40.83	411.579	38.22	411.579	40.5	411.579	41	411.579	41.28	411.579	38.17	
411.943	39.83	411.943	39.22	411.943	40.5	411.943	41	411.943	38.28	411.943	38.17	
412.307	33.83	412.307	34.22	412.307	36.5	412.307	38	412.307	40.28	412.307	43.17	
412.671	40.83	412.671	43.22	412.671	41.5	412.671	46	412.671	42.28	412.671	37.17	
413.035	41.83	413.035	42.22	413.035	44.5	413.035	45	413.035	41.28	413.035	40.17	
413.398	38.83	413.398	40.22	413.398	43.5	413.398	41	413.398	43.28	413.398	37.17	
413.762	35.83	413.762	44.22	413.762	40.5	413.762	45	413.762	39.28	413.762	43.17	
414.126	43.83	414.126	37.22	414.126	42.5	414.126	40	414.126	47.28	414.126	44.17	
414.489	43.83	414.489	39.22	414.489	39.5	414.489	47	414.489	47.28	414.489	45.17	
414.853	38.83	414.853	45.22	414.853	42.5	414.853	48	414.853	48.28	414.853	39.17	
415.217	41.83	415.217	44.22	415.217	48.5	415.217	45	415.217	47.28	415.217	44.17	
