USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
421.393	88.11	421.393	99.5	421.393	86.11	421.393	97.28	421.393	89.5	
421.756	94.11	421.756	92.5	421.756	88.11	421.756	101.28	421.756	96.5	
422.119	99.11	422.119	95.5	422.119	95.11	422.119	98.28	422.119	98.5	
422.482	98.11	422.482	97.5	422.482	92.11	422.482	100.28	422.482	102.5	
422.845	94.11	422.845	96.5	422.845	96.11	422.845	106.28	422.845	101.5	
423.208	103.11	423.208	103.5	423.208	106.11	423.208	109.28	423.208	106.5	
423.571	98.11	423.571	99.5	423.571	97.11	423.571	114.28	423.571	102.5	
423.934	105.11	423.934	100.5	423.934	100.11	423.934	109.28	423.934	105.5	
424.297	93.11	424.297	105.5	424.297	98.11	424.297	112.28	424.297	106.5	
424.659	110.11	424.659	108.5	424.659	105.11	424.659	113.28	424.659	109.5	
425.022	107.11	425.022	111.5	425.022	107.11	425.022	118.28	425.022	112.5	
425.385	113.11	425.385	109.5	425.385	104.11	425.385	118.28	425.385	111.5	
425.748	108.11	425.748	108.5	425.748	114.11	425.748	122.28	425.748	117.5	
426.11	112.11	426.11	120.5	426.11	111.11	426.11	119.28	426.11	122.5	
426.473	113.11	426.473	114.5	426.473	112.11	426.473	130.28	426.473	125.5	
426.836	117.11	426.836	117.5	426.836	115.11	426.836	131.28	426.836	120.5	
427.198	115.11	427.198	119.5	427.198	113.11	427.198	129.28	427.198	128.5	
427.561	122.11	427.561	124.5	427.561	119.11	427.561	131.28	427.561	122.5	
427.923	131.11	427.923	126.5	427.923	118.11	427.923	131.28	427.923	121.5	
428.286	124.11	428.286	126.5	428.286	120.11	428.286	137.28	428.286	120.5	
428.648	128.11	428.648	131.5	428.648	117.11	428.648	136.28	428.648	128.5	
429.011	129.11	429.011	125.5	429.011	117.11	429.011	137.28	429.011	131.5	
429.373	124.11	429.373	131.5	429.373	129.11	429.373	141.28	429.373	135.5	
429.735	128.11	429.735	129.5	429.735	126.11	429.735	146.28	429.735	137.5	
430.098	129.11	430.098	130.5	430.098	125.11	430.098	144.28	430.098	127.5	
430.46	136.11	430.46	127.5	430.46	132.11	430.46	145.28	430.46	141.5	
430.822	129.11	430.822	136.5	430.822	131.11	430.822	150.28	430.822	141.5	
431.185	140.11	431.185	141.5	431.185	130.11	431.185	149.28	431.185	137.5	
431.547	131.11	431.547	139.5	431.547	139.11	431.547	143.28	431.547	144.5	
431.909	144.11	431.909	135.5	431.909	132.11	431.909	154.28	431.909	144.5	
432.271	140.11	432.271	148.5	432.271	135.11	432.271	160.28	432.271	148.5	
432.633	150.11	432.633	150.5	432.633	136.11	432.633	157.28	432.633	155.5	
432.995	141.11	432.995	142.5	432.995	144.11	432.995	144.28	432.995	146.5	
433.357	146.11	433.357	146.5	433.357	144.11	433.357	153.28	433.357	157.5	
433.719	147.11	433.719	151.5	433.719	140.11	433.719	167.28	433.719	152.5	
434.081	144.11	434.081	150.5	434.081	149.11	434.081	165.28	434.081	160.5	
434.443	144.11	434.443	140.5	434.443	145.11	434.443	157.28	434.443	160.5	
434.805	149.11	434.805	145.5	434.805	150.11	434.805	156.28	434.805	150.5	
435.167	161.11	435.167	152.5	435.167	155.11	435.167	165.28	435.167	163.5	
435.529	160.11	435.529	166.5	435.529	151.11	435.529	178.28	435.529	168.5	
435.891	161.11	435.891	153.5	435.891	151.11	435.891	171.28	435.891	164.5	
436.253	156.11	436.253	153.5	436.253	144.11	436.253	179.28	436.253	166.5	
436.615	173.11	436.615	157.5	436.615	156.11	436.615	173.28	436.615	166.5	
436.976	157.11	436.976	160.5	436.976	158.11	436.976	180.28	436.976	171.5	
437.338	170.11	437.338	170.5	437.338	161.11	437.338	167.28	437.338	169.5	
437.7	161.11	437.7	174.5	437.7	168.11	437.7	180.28	437.7	171.5	
438.061	167.11	438.061	167.5	438.061	158.11	438.061	178.28	438.061	174.5	
438.423	169.11	438.423	187.5	438.423	173.11	438.423	180.28	438.423	184.5	
438.785	172.11	438.785	173.5	438.785	168.11	438.785	196.28	438.785	186.5	
439.146	171.11	439.146	181.5	439.146	172.11	439.146	198.28	439.146	180.5	
439.508	171.11	439.508	176.5	439.508	173.11	439.508	192.28	439.508	177.5	
439.869	179.11	439.869	182.5	439.869	175.11	439.869	192.28	439.869	188.5	
440.231	178.11	440.231	178.5	440.231	173.11	440.231	192.28	440.231	181.5	
440.592	178.11	440.592	184.5	440.592	179.11	440.592	195.28	440.592	183.5	
440.954	177.11	440.954	182.5	440.954	179.11	440.954	203.28	440.954	183.5	
441.315	188.11	441.315	182.5	441.315	169.11	441.315	196.28	441.315	191.5	
441.676	181.11	441.676	188.5	441.676	178.11	441.676	206.28	441.676	194.5	
442.038	188.11	442.038	187.5	442.038	184.11	442.038	205.28	442.038	183.5	
442.399	190.11	442.399	193.5	442.399	178.11	442.399	201.28	442.399	188.5	
442.76	189.11	442.76	190.5	442.76	185.11	442.76	216.28	442.76	207.5	
443.121	183.11	443.121	192.5	443.121	184.11	443.121	208.28	443.121	196.5	
443.482	189.11	443.482	190.5	443.482	195.11	443.482	218.28	443.482	205.5	
443.844	191.11	443.844	191.5	443.844	183.11	443.844	210.28	443.844	203.5	
444.205	193.11	444.205	199.5	444.205	190.11	444.205	222.28	444.205	209.5	
444.566	195.11	444.566	198.5	444.566	192.11	444.566	215.28	444.566	204.5	
444.927	197.11	444.927	202.5	444.927	198.11	444.927	219.28	444.927	209.5	
445.288	201.11	445.288	199.5	445.288	195.11	445.288	221.28	445.288	207.5	
445.649	208.11	445.649	206.5	445.649	201.11	445.649	225.28	445.649	215.5	
446.01	207.11	446.01	213.5	446.01	204.11	446.01	227.28	446.01	214.5	
446.371	204.11	446.371	216.5	446.371	202.11	446.371	223.28	446.371	218.5	
446.732	210.11	446.732	208.5	446.732	206.11	446.732	226.28	446.732	220.5	
447.093	207.11	447.093	210.5	447.093	212.11	447.093	236.28	447.093	221.5	
447.453	218.11	447.453	215.5	447.453	205.11	447.453	236.28	447.453	221.5	
447.814	211.11	447.814	220.5	447.814	211.11	447.814	235.28	447.814	215.5	
448.175	214.11	448.175	218.5	448.175	217.11	448.175	251.28	448.175	229.5	
448.536	229.11	448.536	222.5	448.536	215.11	448.536	244.28	448.536	224.5	
448.897	227.11	448.897	224.5	448.897	214.11	448.897	239.28	448.897	225.5	
449.257	222.11	449.257	223.5	449.257	225.11	449.257	249.28	449.257	228.5	
449.618	228.11	449.618	226.5	449.618	224.11	449.618	248.28	449.618	239.5	
449.979	223.11	449.979	230.5	449.979	211.11	449.979	255.28	449.979	236.5	
450.339	231.11	450.339	228.5	450.339	223.11	450.339	251.28	450.339	246.5	
450.7	237.11	450.7	227.5	450.7	225.11	450.7	256.28	450.7	241.5	
451.06	234.11	451.06	228.5	451.06	231.11	451.06	262.28	451.06	241.5	
451.421	233.11	451.421	240.5	451.421	235.11	451.421	259.28	451.421	250.5	
451.781	241.11	451.781	239.5	451.781	236.11	451.781	263.28	451.781	263.5	
452.142	241.11	452.142	247.5	452.142	235.11	452.142	277.28	452.142	253.5	
452.502	245.11	452.502	242.5	452.502	238.11	452.502	269.28	452.502	251.5	
452.862	252.11	452.862	251.5	452.862	248.11	452.862	272.28	452.862	262.5	
453.223	246.11	453.223	252.5	453.223	238.11	453.223	276.28	453.223	260.5	
453.583	244.11	453.583	258.5	453.583	253.11	453.583	279.28	453.583	262.5	
453.943	252.11	453.943	250.5	453.943	242.11	453.943	271.28	453.943	278.5	
