USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		
413.035	21.78	413.035	42.39	413.035	41.17	413.035	48.61	413.035	41.83	413.035	41.5	
413.398	19.78	413.398	38.39	413.398	44.17	413.398	45.61	413.398	41.83	413.398	45.5	
413.762	17.78	413.762	41.39	413.762	41.17	413.762	42.61	413.762	44.83	413.762	43.5	
414.126	22.78	414.126	37.39	414.126	43.17	414.126	45.61	414.126	40.83	414.126	47.5	
414.489	15.78	414.489	40.39	414.489	44.17	414.489	51.61	414.489	44.83	414.489	49.5	
414.853	17.78	414.853	41.39	414.853	46.17	414.853	47.61	414.853	44.83	414.853	49.5	
415.217	23.78	415.217	43.39	415.217	49.17	415.217	47.61	415.217	46.83	415.217	43.5	
415.58	20.78	415.58	45.39	415.58	44.17	415.58	49.61	415.58	47.83	415.58	45.5	
415.944	23.78	415.944	39.39	415.944	42.17	415.944	50.61	415.944	37.83	415.944	49.5	
416.307	18.78	416.307	49.39	416.307	48.17	416.307	49.61	416.307	46.83	416.307	47.5	
416.671	22.78	416.671	45.39	416.671	46.17	416.671	41.61	416.671	46.83	416.671	42.5	
417.034	16.78	417.034	42.39	417.034	46.17	417.034	50.61	417.034	50.83	417.034	48.5	
417.397	18.78	417.397	43.39	417.397	46.17	417.397	49.61	417.397	48.83	417.397	49.5	
417.761	25.78	417.761	44.39	417.761	49.17	417.761	51.61	417.761	50.83	417.761	49.5	
418.124	19.78	418.124	49.39	418.124	48.17	418.124	53.61	418.124	50.83	418.124	49.5	
418.488	19.78	418.488	45.39	418.488	49.17	418.488	49.61	418.488	50.83	418.488	50.5	
418.851	19.78	418.851	49.39	418.851	48.17	418.851	54.61	418.851	55.83	418.851	56.5	
419.214	16.78	419.214	47.39	419.214	52.17	419.214	59.61	419.214	50.83	419.214	51.5	
419.577	24.78	419.577	46.39	419.577	54.17	419.577	60.61	419.577	62.83	419.577	49.5	
419.941	23.78	419.941	50.39	419.941	58.17	419.941	56.61	419.941	58.83	419.941	54.5	
420.304	23.78	420.304	49.39	420.304	52.17	420.304	51.61	420.304	50.83	420.304	56.5	
420.667	25.78	420.667	55.39	420.667	59.17	420.667	59.61	420.667	55.83	420.667	51.5	
421.03	22.78	421.03	47.39	421.03	52.17	421.03	60.61	421.03	53.83	421.03	51.5	
421.393	22.78	421.393	50.39	421.393	54.17	421.393	59.61	421.393	57.83	421.393	57.5	
421.756	22.78	421.756	49.39	421.756	55.17	421.756	55.61	421.756	56.83	421.756	58.5	
422.119	23.78	422.119	52.39	422.119	55.17	422.119	57.61	422.119	52.83	422.119	56.5	
